real_x,real_y
11.5439,17.2415
11.3457,17.0929
11.1475,16.8947
10.9493,16.6965
10.8007,16.4983
10.7016,16.3001
10.553,16.102
10.553,15.9038
10.4043,15.7056
10.2062,15.5074
10.0575,15.3093
9.8594,15.1606
9.7603,14.9624
9.6612,14.7643
9.6612,14.5661
9.6612,14.3679
9.5621,14.1697
9.5621,13.9716
9.463,13.7734
9.3144,13.5752
9.1162,13.4266
8.918,13.2779
8.7198,13.1293
8.5217,12.9311
8.373,12.7329
8.3235,12.5348
8.3235,12.3366
8.2739,12.1384
8.2739,11.9402
8.2244,11.7421
8.0262,11.643
7.828,11.643
7.6299,11.4943
7.5308,11.2962
7.5308,11.098
7.5308,10.8998
7.3326,10.9493
7.1344,10.8503
6.9362,10.7016
6.7381,10.553
6.5399,10.6025
6.3417,10.7016
6.1435,10.6521
5.9453,10.5034
5.7472,10.3053
5.549,10.3053
5.3508,10.2062
5.1526,10.2062
4.9545,10.2062
4.7563,10.2557
4.5581,10.4043
4.3599,10.4539
4.1617,10.4043
3.9636,10.5034
3.7654,10.4043
3.5672,10.3548
3.369,10.3548
3.1708,10.3548
2.9727,10.1566
2.7745,10.1566
2.5763,10.008
2.3781,9.9584
2.18,9.8594
2.0809,9.6612
1.8827,9.6116
1.6845,9.5125
1.4863,9.5125
1.2882,9.5621
1.09,9.6612
0.8918,9.6612
0.6936,9.6116
0.4954,9.6116
0.2973,9.5125
0.2973,9.5621
0.4954,9.7107
0.545,9.9089
0.4459,10.1071
0.4954,10.3053
0.2973,10.5034
0.0991,10.7016
0.1486,10.8998
0.2973,11.098
0.2973,11.2962
0.2973,11.4943
0.2973,11.6925
0.1982,11.8907
0.2973,12.0889
0.4459,12.287
0.2973,12.4852
0.2477,12.6834
0.1982,12.8816
0.1982,13.0798
0.1486,13.2779
0.0991,13.4761
0.0495,13.6743
0.1486,13.8725
0.2477,14.0706
0.2477,14.2688
0.2973,14.467
0.0991,14.6652
0,14.8634
0,15.0615
0,15.2597
-0.0495,15.4579
-0.0991,15.6561
-0.1486,15.8542
-0.2477,16.0524
-0.1982,16.2506
-0.2973,16.4488
-0.2477,16.647
-0.1486,16.8451
-0.1486,17.0433
-0.0495,17.2415
0.1486,17.4397
0.2477,17.6379
0.2477,17.836
0.2477,18.0342
0.2477,18.2324
0.2973,18.4306
0.2973,18.6287
0.2477,18.8269
0.2477,19.0251
0.2973,19.2233
0.4954,19.4215
0.6441,19.6196
0.7927,19.8178
0.9413,19.8674
1.1395,19.8674
1.3377,19.8674
1.5359,19.8674
1.7341,20.016
1.9322,20.1151
2.1304,19.9664
2.3286,19.9169
2.5268,19.9169
2.7249,19.9169
2.9231,19.9169
3.1213,19.9664
3.3195,20.016
3.5177,19.9169
3.7158,19.9169
3.914,19.8178
4.1122,19.7187
4.3104,19.7683
4.5086,19.6692
4.7067,19.6196
4.9049,19.7683
5.1031,19.7683
5.3013,19.6196
5.4994,19.5701
5.6976,19.4215
5.8958,19.3719
6.094,19.3224
6.2922,19.2233
6.4903,19.3719
6.6885,19.5205
6.7876,19.3224
6.9362,19.1242
7.0849,18.926
7.184,18.7278
7.3326,18.5297
7.5308,18.3315
7.6794,18.2324
7.8776,18.2324
8.0262,18.0838
8.2244,17.8856
8.4226,17.6874
8.6207,17.6379
8.8189,17.5883
9.0171,17.4397
9.0666,17.2415
9.2648,17.0433
9.463,16.9938
9.6612,16.9938
9.8594,16.8947
10.0575,16.9442
10.2557,16.9938
10.4539,17.1424
10.6521,16.9442
10.8503,17.0433
11.0484,17.0929
11.2466,17.1424
11.4448,17.1424
11.5439,17.2415
