real_x,real_y
2.00,20
2.08,19.9
2.16,19.8
2.24,19.7
2.32,19.6
2.4,19.5
2.48,19.4
2.56,19.3
2.64,19.2
2.72,19.1
2.8,19
2.88,18.9w
2.96,18.8
3.04,18.7
3.12,18.6
3.2,18.5
3.28,18.4
3.36,18.3
3.44,18.2
3.52,18.1
3.6,18
3.68,17.9
3.76,17.8
3.84,17.7
3.92,17.6
4,17.5
4.08,17.4
4.16,17.3
4.24,17.2
4.32,17.1
4.4,17
4.48,16.9
4.56,16.8
4.64,16.7
4.72,16.6
4.8,16.5
4.88,16.4
4.96,16.3
5.04,16.2
5.12,16.1
5.2,16
5.28,15.9
5.36,15.8
5.44,15.7
5.52,15.6
5.6,15.5
5.68,15.4
5.76,15.3
5.84,15.2
5.92,15.1
6,15
6.08,14.9
6.16,14.8
6.24,14.7
6.32,14.6
6.4,14.5
6.48,14.4
6.56,14.3
6.64,14.2
6.72,14.1
6.8,14
6.88,13.9
6.96,13.8
7.04,13.7
7.12,13.6
7.2,13.5
7.28,13.4
7.36,13.3
7.44,13.2
7.52,13.1
7.6,13
7.68,12.9
7.76,12.8
7.84,12.7
7.92,12.6
8,12.5
8.08,12.4
8.16,12.3
8.24,12.2
8.32,12.1
8.4,12
8.48,11.9
8.56,11.8
8.64,11.7
8.72,11.6
8.8,11.5
8.88,11.4
8.96,11.3
9.04,11.2
9.12,11.1
9.2,11
9.28,10.9
9.36,10.8
9.44,10.7
9.52,10.6
9.6,10.5
9.68,10.4
9.76,10.3
9.84,10.2
9.92,10.1
10,10
