index,x_pixel,y_pixel,cost
0,441,413,10
1,437,416,0
2,433,420,0
3,429,424,5
4,426,428,5
5,424,432,0
6,421,436,0
7,421,440,5
8,418,444,0
9,414,448,0
10,411,452,0
11,407,455,12
12,405,459,4
13,403,463,0
14,403,467,0
15,403,471,8
16,401,475,0
17,401,479,3
18,399,483,0
19,396,487,0
20,392,490,0
21,388,493,0
22,384,496,5
23,380,500,0
24,377,504,5
25,376,508,0
26,376,512,0
27,375,516,0
28,375,520,0
29,374,524,0
30,370,526,0
31,366,526,0
32,362,529,0
33,360,533,0
34,360,537,0
35,360,541,12
36,356,540,0
37,352,542,0
38,348,545,0
39,344,548,16
40,340,547,7
41,336,545,0
42,332,546,8
43,328,549,5
44,324,553,12
45,320,553,0
46,316,555,5
47,312,555,8
48,308,555,5
49,304,554,0
50,300,551,3
51,296,550,0
52,292,551,0
53,288,549,0
54,284,551,0
55,280,552,0
56,276,552,0
57,272,552,0
58,268,556,0
59,264,556,8
60,260,559,0
61,256,560,4
62,252,562,5
63,250,566,5
64,246,567,0
65,242,569,0
66,238,569,0
67,234,568,8
68,230,566,0
69,226,566,8
70,222,567,0
71,218,567,0
72,214,569,5
73,214,568,5
74,218,565,0
75,219,561,5
76,217,557,0
77,218,553,0
78,214,549,0
79,210,545,0
80,211,541,8
81,214,537,8
82,214,533,0
83,214,529,0
84,214,525,0
85,212,521,0
86,214,517,13
87,217,513,0
88,214,509,0
89,213,505,0
90,212,501,0
91,212,497,0
92,211,493,0
93,210,489,0
94,209,485,0
95,211,481,8
96,213,477,0
97,213,473,0
98,214,469,0
99,210,465,0
100,208,461,0
101,208,457,0
102,208,453,0
103,207,449,5
104,206,445,5
105,205,441,0
106,203,437,0
107,204,433,0
108,202,429,0
109,203,425,0
110,205,421,0
111,205,417,5
112,207,413,0
113,211,409,5
114,213,405,0
115,213,401,0
116,213,397,0
117,213,393,9
118,214,389,3
119,214,385,0
120,213,381,0
121,213,377,12
122,214,373,16
123,218,369,0
124,221,365,0
125,224,361,0
126,227,360,0
127,231,360,0
128,235,360,0
129,239,360,0
130,243,357,5
131,247,355,0
132,251,358,0
133,255,359,13
134,259,359,0
135,263,359,0
136,267,359,0
137,271,358,5
138,275,357,0
139,279,359,7
140,283,359,0
141,287,361,0
142,291,363,8
143,295,362,0
144,299,364,5
145,303,365,0
146,307,362,0
147,311,362,0
148,315,365,0
149,319,366,3
150,323,369,12
151,327,370,0
152,331,371,0
153,335,373,10
154,339,370,0
155,343,367,3
156,345,371,0
157,348,375,12
158,351,379,4
159,353,383,0
160,356,387,10
161,360,391,5
162,363,393,0
163,367,393,0
164,370,396,8
165,374,400,0
166,378,404,0
167,382,405,5
168,386,406,5
169,390,409,0
170,391,413,12
171,395,417,0
172,399,418,0
173,403,418,0
174,407,420,0
175,411,419,12
176,415,418,5
177,419,415,0
178,423,419,5
179,427,417,8
180,431,416,0
181,435,415,0
182,439,415,10
183,441,413,10
